,gene_name,ensembl_id
182,AC005037.3,ENSG00000183308
183,AC005076.5,ENSG00000224046
184,AC005082.12,ENSG00000226816
185,AC005104.3,ENSG00000223374
186,AC005220.3,ENSG00000236352
187,AC005224.2,ENSG00000231595
188,AC005253.2,ENSG00000268030
189,AC005253.4,ENSG00000268983
190,AC005262.2,ENSG00000267688
191,AC005264.2,ENSG00000267551
192,AC005276.1,ENSG00000197462
193,AC005304.1,ENSG00000233852
194,AC005307.1,ENSG00000260725
195,AC005329.7,ENSG00000248015
196,AC005339.2,ENSG00000268565
197,AC005355.1,ENSG00000250994
198,AC005355.2,ENSG00000251169
199,AC005363.11,ENSG00000277602
200,AC005394.1,ENSG00000267537
201,AC005477.1,ENSG00000280188
202,AC005480.1,ENSG00000279461
203,AC005498.3,ENSG00000267421
204,AC005523.2,ENSG00000269604
205,AC005523.3,ENSG00000268536
206,AC005537.2,ENSG00000232006
207,AC005550.3,ENSG00000237070
208,AC005592.2,ENSG00000231185
209,AC005614.3,ENSG00000269296
210,AC005616.1,ENSG00000266893
211,AC005616.2,ENSG00000267423
212,AC005618.6,ENSG00000272070
213,AC005625.1,ENSG00000266963
214,AC005740.5,ENSG00000254099
215,AC005740.6,ENSG00000271871
216,AC005754.8,ENSG00000272108
217,AC005757.6,ENSG00000267044
218,AC005775.2,ENSG00000266933
219,AC005932.1,ENSG00000269019
220,AC005944.2,ENSG00000267469
221,AC005954.4,ENSG00000267205
222,AC006004.1,ENSG00000236795
223,AC006007.1,ENSG00000230746
224,AC006116.17,ENSG00000267549
225,AC006129.1,ENSG00000268355
226,AC006129.2,ENSG00000268027
227,AC006130.3,ENSG00000267063
228,AC006160.5,ENSG00000249502
229,AC006273.4,ENSG00000272473
230,AC006273.5,ENSG00000267530
231,AC006277.2,ENSG00000253392
232,AC006369.2,ENSG00000236213
233,AC006449.2,ENSG00000279119
234,AC006460.2,ENSG00000228509
235,AC006482.1,ENSG00000228675
236,AC006547.15,ENSG00000268292
237,AC006942.4,ENSG00000269194
238,AC006946.15,ENSG00000235478
239,AC006946.16,ENSG00000273203
240,AC006994.2,ENSG00000231294
241,AC007009.1,ENSG00000244239
242,AC007038.7,ENSG00000229127
243,AC007040.11,ENSG00000258881
244,AC007098.1,ENSG00000226605
245,AC007126.1,ENSG00000250497
246,AC007161.5,ENSG00000234718
247,AC007163.3,ENSG00000237166
248,AC007182.6,ENSG00000224721
249,AC007193.8,ENSG00000269151
250,AC007193.9,ENSG00000268810
251,AC007228.11,ENSG00000269696
252,AC007228.5,ENSG00000268352
253,AC007228.9,ENSG00000268568
254,AC007246.3,ENSG00000231312
255,AC007255.8,ENSG00000223813
256,AC007292.3,ENSG00000269318
257,AC007292.4,ENSG00000269807
258,AC007292.6,ENSG00000267980
259,AC007319.1,ENSG00000224063
260,AC007325.1,ENSG00000276017
261,AC007325.4,ENSG00000278817
262,AC007349.4,ENSG00000229424
263,AC007364.1,ENSG00000162947
264,AC007365.1,ENSG00000233694
265,AC007365.3,ENSG00000226756
266,AC007383.3,ENSG00000227946
267,AC007383.4,ENSG00000231955
268,AC007386.2,ENSG00000237638
269,AC007386.4,ENSG00000232613
270,AC007389.3,ENSG00000235725
271,AC007391.2,ENSG00000232028
272,AC007405.4,ENSG00000234350
273,AC007405.6,ENSG00000239467
274,AC007563.1,ENSG00000236295
275,AC007563.5,ENSG00000236886
276,AC007566.10,ENSG00000244055
277,AC007620.3,ENSG00000242539
278,AC007682.1,ENSG00000231918
279,AC007743.1,ENSG00000233251
280,AC007773.2,ENSG00000267213
281,AC007879.2,ENSG00000234902
282,AC007879.3,ENSG00000240440
283,AC007879.7,ENSG00000229647
284,AC007880.1,ENSG00000234572
285,AC007906.1,ENSG00000279018
286,AC007950.1,ENSG00000259268
287,AC007950.2,ENSG00000276651
288,AC007952.4,ENSG00000266311
289,AC007952.6,ENSG00000197665
290,AC007966.1,ENSG00000226747
291,AC008063.2,ENSG00000230918
292,AC008073.9,ENSG00000223754
293,AC008074.1,ENSG00000279644
294,AC008074.3,ENSG00000223935
295,AC008079.10,ENSG00000280007
296,AC008088.4,ENSG00000260907
297,AC008269.2,ENSG00000229321
298,AC008277.1,ENSG00000223642
299,AC008440.5,ENSG00000232220
300,AC008522.1,ENSG00000279232
301,AC008592.4,ENSG00000251409
302,AC008686.1,ENSG00000280221
303,AC008691.1,ENSG00000254199
304,AC008746.12,ENSG00000267838
305,AC008914.1,ENSG00000279768
306,AC008937.2,ENSG00000237705
307,AC008937.3,ENSG00000225230
308,AC009005.2,ENSG00000267751
309,AC009060.3,ENSG00000280252
310,AC009065.4,ENSG00000279473
311,AC009120.10,ENSG00000261248
312,AC009120.11,ENSG00000275236
313,AC009120.4,ENSG00000261404
314,AC009120.5,ENSG00000260884
315,AC009121.2,ENSG00000280717
316,AC009133.12,ENSG00000238045
317,AC009228.1,ENSG00000242628
318,AC009299.3,ENSG00000227403
319,AC009312.1,ENSG00000238207
320,AC009313.1,ENSG00000224467
321,AC009403.2,ENSG00000216895
322,AC009404.2,ENSG00000236255
323,AC009410.1,ENSG00000232023
324,AC009473.1,ENSG00000234141
325,AC009480.3,ENSG00000223911
326,AC009495.2,ENSG00000235192
327,AC009495.3,ENSG00000232411
328,AC009501.4,ENSG00000231609
329,AC009505.2,ENSG00000235522
330,AC009505.4,ENSG00000234162
331,AC009506.1,ENSG00000224152
332,AC009948.5,ENSG00000223960
333,AC009950.1,ENSG00000280755
334,AC009950.2,ENSG00000225963
335,AC009961.3,ENSG00000226266
336,AC010084.1,ENSG00000229308
337,AC010096.1,ENSG00000234597
338,AC010136.2,ENSG00000223923
339,AC010226.4,ENSG00000249249
340,AC010287.1,ENSG00000279816
341,AC010468.2,ENSG00000249318
342,AC010524.2,ENSG00000268686
343,AC010524.4,ENSG00000268157
344,AC010642.1,ENSG00000267216
345,AC010746.3,ENSG00000225979
346,AC010761.8,ENSG00000264577
347,AC010883.5,ENSG00000234936
348,AC010884.1,ENSG00000224509
349,AC010890.1,ENSG00000226953
350,AC010894.3,ENSG00000226853
351,AC010907.2,ENSG00000237370
352,AC010967.2,ENSG00000228033
353,AC010969.1,ENSG00000188525
354,AC010976.2,ENSG00000231731
355,AC011043.1,ENSG00000276256
356,AC011239.1,ENSG00000224361
357,AC011306.1,ENSG00000229805
358,AC011524.1,ENSG00000267528
359,AC011625.1,ENSG00000223436
360,AC011747.4,ENSG00000236008
361,AC011752.1,ENSG00000231204
362,AC011893.3,ENSG00000226806
363,AC011899.9,ENSG00000233038
364,AC011997.1,ENSG00000222017
365,AC012065.4,ENSG00000227047
366,AC012074.2,ENSG00000235072
367,AC012123.1,ENSG00000228835
368,AC012314.8,ENSG00000237017
369,AC012358.8,ENSG00000240401
370,AC012360.4,ENSG00000235319
371,AC012360.6,ENSG00000238273
372,AC012368.1,ENSG00000228079
373,AC012442.6,ENSG00000228251
374,AC012462.1,ENSG00000230695
375,AC012462.2,ENSG00000225166
376,AC012507.3,ENSG00000232520
377,AC012507.4,ENSG00000230385
378,AC012668.1,ENSG00000234938
379,AC012668.3,ENSG00000227981
380,AC013264.2,ENSG00000231621
381,AC013275.2,ENSG00000231013
382,AC013461.1,ENSG00000091436
383,AC013463.2,ENSG00000236283
384,AC015691.13,ENSG00000239920
385,AC015849.19,ENSG00000270871
386,AC015849.2,ENSG00000270240
387,AC015922.6,ENSG00000237057
388,AC015923.1,ENSG00000226797
389,AC015969.3,ENSG00000203395
390,AC015987.1,ENSG00000224746
391,AC016549.1,ENSG00000281325
392,AC016644.1,ENSG00000235635
393,AC016700.5,ENSG00000231327
394,AC016722.3,ENSG00000226548
395,AC016735.2,ENSG00000231826
396,AC016745.3,ENSG00000234997
397,AC016768.1,ENSG00000232451
398,AC016831.7,ENSG00000233559
399,AC016907.3,ENSG00000233862
400,AC016910.1,ENSG00000232377
401,AC016995.3,ENSG00000231367
402,AC017002.1,ENSG00000240350
403,AC017002.2,ENSG00000224959
404,AC017006.2,ENSG00000232696
405,AC017074.1,ENSG00000233479
406,AC017104.2,ENSG00000233538
407,AC018462.2,ENSG00000229839
408,AC018647.3,ENSG00000227544
409,AC018742.1,ENSG00000229621
410,AC018816.3,ENSG00000235978
411,AC019117.1,ENSG00000236318
412,AC019117.2,ENSG00000236039
413,AC019186.1,ENSG00000234584
414,AC020571.3,ENSG00000229056
415,AC020594.5,ENSG00000237133
416,AC020743.2,ENSG00000228005
417,AC021188.4,ENSG00000230747
418,AC021224.1,ENSG00000262477
419,AC022007.5,ENSG00000206567
420,AC022154.7,ENSG00000268093
421,AC022182.1,ENSG00000254777
422,AC022182.3,ENSG00000254802
423,AC022405.1,ENSG00000279084
424,AC023347.1,ENSG00000235774
425,AC023481.1,ENSG00000231401
426,AC023590.1,ENSG00000225885
427,AC024028.1,ENSG00000228334
428,AC024060.1,ENSG00000281584
429,AC024084.1,ENSG00000230649
430,AC024361.1,ENSG00000280575
431,AC024560.2,ENSG00000236833
432,AC024592.12,ENSG00000267740
433,AC025171.1,ENSG00000215068
434,AC025335.1,ENSG00000179859
435,AC026202.3,ENSG00000233912
436,AC026471.6,ENSG00000260740
437,AC026904.1,ENSG00000233858
438,AC027601.1,ENSG00000260005
439,AC034243.1,ENSG00000253404
440,AC037459.4,ENSG00000248235
441,AC046143.3,ENSG00000229334
442,AC055764.1,ENSG00000234136
443,AC058791.1,ENSG00000226380
444,AC061992.2,ENSG00000267737
445,AC062017.1,ENSG00000222020
446,AC062028.1,ENSG00000145063
447,AC062029.1,ENSG00000234028
448,AC064834.1,ENSG00000224099
449,AC064834.3,ENSG00000234919
450,AC067959.1,ENSG00000233005
451,AC068196.1,ENSG00000238171
452,AC068282.3,ENSG00000236682
453,AC068490.1,ENSG00000228999
454,AC068492.1,ENSG00000237262
455,AC068499.10,ENSG00000268650
456,AC068580.6,ENSG00000235027
457,AC068831.10,ENSG00000214432
458,AC068831.6,ENSG00000258384
459,AC069363.1,ENSG00000277089
460,AC069513.4,ENSG00000229178
461,AC072062.1,ENSG00000229267
462,AC073072.1,ENSG00000281889
463,AC073072.5,ENSG00000179428
464,AC073115.7,ENSG00000229628
465,AC073130.2,ENSG00000281656
466,AC073130.3,ENSG00000243243
467,AC073254.1,ENSG00000237126
468,AC073257.1,ENSG00000232140
469,AC073257.2,ENSG00000237614
470,AC073283.4,ENSG00000234690
471,AC073283.7,ENSG00000225187
472,AC073333.1,ENSG00000280130
473,AC073343.13,ENSG00000228010
474,AC073657.1,ENSG00000279937
475,AC073987.1,ENSG00000229209
476,AC074117.10,ENSG00000234072
477,AC074183.4,ENSG00000232019
478,AC074212.6,ENSG00000267395
479,AC074289.1,ENSG00000225889
480,AC074391.1,ENSG00000204929
481,AC078883.3,ENSG00000232788
482,AC079305.10,ENSG00000222043
483,AC079354.3,ENSG00000222035
484,AC079354.5,ENSG00000231903
485,AC079466.1,ENSG00000266976
486,AC079584.2,ENSG00000236356
487,AC079610.2,ENSG00000196096
488,AC079630.4,ENSG00000225342
489,AC079767.4,ENSG00000224137
490,AC079790.2,ENSG00000225214
491,AC079807.2,ENSG00000233230
492,AC079907.1,ENSG00000281370
493,AC079922.3,ENSG00000237753
494,AC083843.1,ENSG00000259820
495,AC083843.2,ENSG00000254028
496,AC083949.1,ENSG00000224875
497,AC084219.4,ENSG00000186019
498,AC084809.2,ENSG00000226377
499,AC084809.3,ENSG00000236377
500,AC087294.2,ENSG00000235530
501,AC087392.1,ENSG00000281182
502,AC090498.1,ENSG00000279483
503,AC090587.5,ENSG00000228661
504,AC090616.2,ENSG00000214708
505,AC090617.1,ENSG00000236838
506,AC091132.1,ENSG00000236234
507,AC091133.1,ENSG00000230532
508,AC091153.4,ENSG00000235085
509,AC091633.3,ENSG00000223711
510,AC091729.9,ENSG00000229043
511,AC092155.4,ENSG00000226622
512,AC092159.2,ENSG00000233296
513,AC092171.2,ENSG00000188365
514,AC092171.4,ENSG00000230733
515,AC092192.1,ENSG00000282535
516,AC092301.3,ENSG00000269148
517,AC092384.1,ENSG00000280675
518,AC092484.1,ENSG00000225107
519,AC092535.3,ENSG00000227189
520,AC092580.4,ENSG00000235576
521,AC092620.3,ENSG00000237772
522,AC092652.1,ENSG00000231758
523,AC092667.2,ENSG00000230393
524,AC092669.3,ENSG00000232164
525,AC092687.3,ENSG00000236162
526,AC092718.1,ENSG00000279362
527,AC092835.2,ENSG00000233757
528,AC093159.1,ENSG00000228541
529,AC093323.3,ENSG00000170846
530,AC093326.1,ENSG00000223985
531,AC093382.1,ENSG00000226276
532,AC093388.3,ENSG00000233654
533,AC093390.1,ENSG00000232057
534,AC093495.4,ENSG00000228242
535,AC093609.1,ENSG00000230587
536,AC093627.10,ENSG00000240859
537,AC093627.7,ENSG00000232325
538,AC093627.9,ENSG00000242474
539,AC093673.5,ENSG00000232533
540,AC093690.1,ENSG00000223522
541,AC093702.1,ENSG00000231156
542,AC093802.1,ENSG00000220256
543,AC093818.1,ENSG00000225205
544,AC093901.1,ENSG00000226856
545,AC096558.1,ENSG00000228655
546,AC096669.1,ENSG00000225588
547,AC096772.6,ENSG00000244567
548,AC097381.1,ENSG00000228919
549,AC097468.4,ENSG00000224090
550,AC097495.2,ENSG00000237576
551,AC097532.2,ENSG00000230803
552,AC097662.2,ENSG00000236432
553,AC097713.3,ENSG00000228162
554,AC097721.2,ENSG00000228043
555,AC097724.3,ENSG00000226833
556,AC098617.1,ENSG00000233766
557,AC098823.3,ENSG00000226125
558,AC098828.2,ENSG00000234378
559,AC099342.1,ENSG00000226097
560,AC099344.3,ENSG00000231403
561,AC099552.3,ENSG00000228521
