,gene_name,ensembl_id
5028,DAGLB,ENSG00000164535
5029,DALRD3,ENSG00000178149
5030,DAND5,ENSG00000179284
5031,DANT2,ENSG00000235244
5032,DAO,ENSG00000110887
5033,DAP,ENSG00000112977
5034,DAP3,ENSG00000132676
5035,DAPK1,ENSG00000196730
5036,DAPK2,ENSG00000035664
5037,DAPK3,ENSG00000167657
5038,DAPL1,ENSG00000163331
5039,DAPP1,ENSG00000070190
5040,DARS,ENSG00000115866
5041,DARS-AS1,ENSG00000231890
5042,DARS2,ENSG00000117593
5043,DAW1,ENSG00000123977
5044,DAXX,ENSG00000204209
5045,DAZAP1,ENSG00000071626
5046,DAZAP2,ENSG00000183283
5047,DAZL,ENSG00000092345
5048,DBET,ENSG00000281591
5049,DBF4,ENSG00000006634
5050,DBF4B,ENSG00000161692
5051,DBH,ENSG00000123454
5052,DBH-AS1,ENSG00000225756
5053,DBI,ENSG00000155368
5054,DBN1,ENSG00000113758
5055,DBNDD1,ENSG00000003249
5056,DBNDD2,ENSG00000244274
5057,DBNL,ENSG00000136279
5058,DBP,ENSG00000105516
5059,DBR1,ENSG00000138231
5060,DBT,ENSG00000137992
5061,DBX2,ENSG00000185610
5062,DCAF10,ENSG00000122741
5063,DCAF11,ENSG00000100897
5064,DCAF12,ENSG00000198876
5065,DCAF12L1,ENSG00000198889
5066,DCAF12L2,ENSG00000198354
5067,DCAF13,ENSG00000164934
5068,DCAF15,ENSG00000132017
5069,DCAF16,ENSG00000163257
5070,DCAF17,ENSG00000115827
5071,DCAF4,ENSG00000119599
5072,DCAF4L1,ENSG00000182308
5073,DCAF5,ENSG00000139990
5074,DCAF6,ENSG00000143164
5075,DCAF7,ENSG00000136485
5076,DCAF8,ENSG00000132716
5077,DCAKD,ENSG00000172992
5078,DCANP1,ENSG00000251380
5079,DCBLD1,ENSG00000164465
5080,DCBLD2,ENSG00000057019
5081,DCC,ENSG00000187323
5082,DCD,ENSG00000161634
5083,DCDC1,ENSG00000170959
5084,DCDC2,ENSG00000146038
5085,DCDC2B,ENSG00000222046
5086,DCDC2C,ENSG00000214866
5087,DCHS1,ENSG00000166341
5088,DCHS2,ENSG00000197410
5089,DCK,ENSG00000156136
5090,DCLK1,ENSG00000133083
5091,DCLK2,ENSG00000170390
5092,DCLK3,ENSG00000163673
5093,DCLRE1A,ENSG00000198924
5094,DCLRE1B,ENSG00000118655
5095,DCLRE1C,ENSG00000152457
5096,DCN,ENSG00000011465
5097,DCP1A,ENSG00000272886
5098,DCP1B,ENSG00000151065
5099,DCP2,ENSG00000172795
5100,DCPS,ENSG00000110063
5101,DCST1,ENSG00000163357
5102,DCST2,ENSG00000163354
5103,DCSTAMP,ENSG00000164935
5104,DCT,ENSG00000080166
5105,DCTD,ENSG00000129187
5106,DCTN1,ENSG00000204843
5107,DCTN1-AS1,ENSG00000237737
5108,DCTN2,ENSG00000175203
5109,DCTN3,ENSG00000137100
5110,DCTN4,ENSG00000132912
5111,DCTN5,ENSG00000166847
5112,DCTN6,ENSG00000104671
5113,DCTPP1,ENSG00000179958
5114,DCUN1D1,ENSG00000043093
5115,DCUN1D2,ENSG00000150401
5116,DCUN1D3,ENSG00000188215
5117,DCUN1D4,ENSG00000109184
5118,DCUN1D5,ENSG00000137692
5119,DCXR,ENSG00000169738
5120,DDA1,ENSG00000130311
5121,DDAH1,ENSG00000153904
5122,DDAH2,ENSG00000213722
5123,DDB1,ENSG00000167986
5124,DDB2,ENSG00000134574
5125,DDC,ENSG00000132437
5126,DDHD1,ENSG00000100523
5127,DDHD2,ENSG00000085788
5128,DDI2,ENSG00000197312
5129,DDIAS,ENSG00000165490
5130,DDIT3,ENSG00000175197
5131,DDIT4,ENSG00000168209
5132,DDIT4L,ENSG00000145358
5133,DDN,ENSG00000181418
5134,DDO,ENSG00000203797
5135,DDOST,ENSG00000244038
5136,DDR1,ENSG00000204580
5137,DDR1-AS1,ENSG00000237775
5138,DDR2,ENSG00000162733
5139,DDRGK1,ENSG00000198171
5140,DDT,ENSG00000099977
5141,DDTL,ENSG00000099974
5142,DDX1,ENSG00000079785
5143,DDX10,ENSG00000178105
5144,DDX11,ENSG00000013573
5145,DDX11-AS1,ENSG00000245614
5146,DDX17,ENSG00000100201
5147,DDX18,ENSG00000088205
5148,DDX19A,ENSG00000168872
5149,DDX19B,ENSG00000157349
5150,DDX20,ENSG00000064703
5151,DDX21,ENSG00000165732
5152,DDX23,ENSG00000174243
5153,DDX24,ENSG00000089737
5154,DDX25,ENSG00000109832
5155,DDX26B,ENSG00000165359
5156,DDX27,ENSG00000124228
5157,DDX28,ENSG00000182810
5158,DDX31,ENSG00000125485
5159,DDX39A,ENSG00000123136
5160,DDX39B,ENSG00000198563
5161,DDX39B-AS1,ENSG00000234006
5162,DDX3X,ENSG00000215301
5163,DDX3Y,ENSG00000067048
5164,DDX4,ENSG00000152670
5165,DDX41,ENSG00000183258
5166,DDX42,ENSG00000198231
5167,DDX43,ENSG00000080007
5168,DDX46,ENSG00000145833
5169,DDX47,ENSG00000213782
5170,DDX49,ENSG00000105671
5171,DDX5,ENSG00000108654
5172,DDX50,ENSG00000107625
5173,DDX51,ENSG00000185163
5174,DDX52,ENSG00000278053
5175,DDX53,ENSG00000184735
5176,DDX54,ENSG00000123064
5177,DDX55,ENSG00000111364
5178,DDX56,ENSG00000136271
5179,DDX58,ENSG00000107201
5180,DDX59,ENSG00000118197
5181,DDX6,ENSG00000110367
5182,DDX60,ENSG00000137628
5183,DDX60L,ENSG00000181381
5184,DEAF1,ENSG00000177030
5185,DEC1,ENSG00000173077
5186,DECR1,ENSG00000104325
5187,DECR2,ENSG00000242612
5188,DEDD,ENSG00000158796
5189,DEDD2,ENSG00000160570
5190,DEF6,ENSG00000023892
5191,DEF8,ENSG00000140995
5192,DEFA3,ENSG00000239839
5193,DEFB1,ENSG00000164825
5194,DEFB124,ENSG00000180383
5195,DEGS1,ENSG00000143753
5196,DEGS2,ENSG00000168350
5197,DEK,ENSG00000124795
5198,DENND1A,ENSG00000119522
5199,DENND1B,ENSG00000213047
5200,DENND1C,ENSG00000205744
5201,DENND2A,ENSG00000146966
5202,DENND2C,ENSG00000175984
5203,DENND2D,ENSG00000162777
5204,DENND3,ENSG00000105339
5205,DENND4A,ENSG00000174485
5206,DENND4B,ENSG00000198837
5207,DENND4C,ENSG00000137145
5208,DENND5A,ENSG00000184014
5209,DENND5B,ENSG00000170456
5210,DENND5B-AS1,ENSG00000255867
5211,DENND6A,ENSG00000174839
5212,DENND6A-AS1,ENSG00000239801
5213,DENND6B,ENSG00000205593
5214,DENR,ENSG00000139726
5215,DEPDC1,ENSG00000024526
5216,DEPDC1-AS1,ENSG00000234264
5217,DEPDC1B,ENSG00000035499
5218,DEPDC4,ENSG00000166153
5219,DEPDC5,ENSG00000100150
5220,DEPDC7,ENSG00000121690
5221,DEPTOR,ENSG00000155792
5222,DERA,ENSG00000023697
5223,DERL1,ENSG00000136986
5224,DERL2,ENSG00000072849
5225,DERL3,ENSG00000099958
5226,DES,ENSG00000175084
5227,DESI1,ENSG00000100418
5228,DESI2,ENSG00000121644
5229,DET1,ENSG00000140543
5230,DEXI,ENSG00000182108
5231,DFFA,ENSG00000160049
5232,DFFB,ENSG00000169598
5233,DFNA5,ENSG00000105928
5234,DFNB31,ENSG00000095397
5235,DFNB59,ENSG00000204311
5236,DGAT1,ENSG00000185000
5237,DGAT2,ENSG00000062282
5238,DGCR14,ENSG00000100056
5239,DGCR2,ENSG00000070413
5240,DGCR5,ENSG00000237517
5241,DGCR6,ENSG00000183628
5242,DGCR6L,ENSG00000128185
5243,DGCR8,ENSG00000128191
5244,DGCR9,ENSG00000273032
5245,DGKA,ENSG00000065357
5246,DGKB,ENSG00000136267
5247,DGKD,ENSG00000077044
5248,DGKE,ENSG00000153933
5249,DGKG,ENSG00000058866
5250,DGKH,ENSG00000102780
5251,DGKI,ENSG00000157680
5252,DGKK,ENSG00000274588
5253,DGKQ,ENSG00000145214
5254,DGKZ,ENSG00000149091
5255,DGUOK,ENSG00000114956
5256,DGUOK-AS1,ENSG00000237883
5257,DHCR24,ENSG00000116133
5258,DHCR7,ENSG00000172893
5259,DHDDS,ENSG00000117682
5260,DHDH,ENSG00000104808
5261,DHFR,ENSG00000228716
5262,DHFRL1,ENSG00000178700
5263,DHH,ENSG00000139549
5264,DHODH,ENSG00000102967
5265,DHPS,ENSG00000095059
5266,DHRS1,ENSG00000157379
5267,DHRS11,ENSG00000278535
5268,DHRS12,ENSG00000102796
5269,DHRS13,ENSG00000167536
5270,DHRS2,ENSG00000100867
5271,DHRS3,ENSG00000162496
5272,DHRS4,ENSG00000157326
5273,DHRS4-AS1,ENSG00000215256
5274,DHRS4L2,ENSG00000187630
5275,DHRS7,ENSG00000100612
5276,DHRS7B,ENSG00000109016
5277,DHRS9,ENSG00000073737
5278,DHRSX,ENSG00000169084
5279,DHTKD1,ENSG00000181192
5280,DHX15,ENSG00000109606
5281,DHX16,ENSG00000204560
5282,DHX29,ENSG00000067248
5283,DHX30,ENSG00000132153
5284,DHX32,ENSG00000089876
5285,DHX33,ENSG00000005100
5286,DHX34,ENSG00000134815
5287,DHX35,ENSG00000101452
5288,DHX36,ENSG00000174953
5289,DHX37,ENSG00000150990
5290,DHX38,ENSG00000140829
5291,DHX40,ENSG00000108406
5292,DHX57,ENSG00000163214
5293,DHX58,ENSG00000108771
5294,DHX8,ENSG00000067596
5295,DHX9,ENSG00000135829
5296,DIABLO,ENSG00000184047
5297,DIAPH1,ENSG00000131504
5298,DIAPH2,ENSG00000147202
5299,DIAPH2-AS1,ENSG00000236256
5300,DIAPH3,ENSG00000139734
5301,DIAPH3-AS1,ENSG00000227528
5302,DICER1,ENSG00000100697
5303,DICER1-AS1,ENSG00000235706
5304,DIDO1,ENSG00000101191
5305,DIEXF,ENSG00000117597
5306,DIMT1,ENSG00000086189
5307,DIO1,ENSG00000211452
5308,DIO2,ENSG00000211448
5309,DIO3,ENSG00000197406
5310,DIO3OS,ENSG00000258498
5311,DIP2A,ENSG00000160305
5312,DIP2B,ENSG00000066084
5313,DIP2C,ENSG00000151240
5314,DIRAS1,ENSG00000176490
5315,DIRAS2,ENSG00000165023
5316,DIRAS3,ENSG00000162595
5317,DIRC1,ENSG00000174325
5318,DIRC2,ENSG00000138463
5319,DIRC3,ENSG00000231672
5320,DIRC3-AS1,ENSG00000233143
5321,DIS3,ENSG00000083520
5322,DIS3L,ENSG00000166938
5323,DIS3L2,ENSG00000144535
5324,DISC1,ENSG00000162946
5325,DISP1,ENSG00000154309
5326,DISP2,ENSG00000140323
5327,DIXDC1,ENSG00000150764
5328,DKC1,ENSG00000130826
5329,DKFZP434A062,ENSG00000262075
5330,DKFZP434I0714,ENSG00000268471
5331,DKFZp779M0652,ENSG00000205106
5332,DKK1,ENSG00000107984
5333,DKK2,ENSG00000155011
5334,DKK3,ENSG00000050165
5335,DKK4,ENSG00000104371
5336,DKKL1,ENSG00000104901
5337,DLAT,ENSG00000150768
5338,DLC1,ENSG00000164741
5339,DLD,ENSG00000091140
5340,DLEC1,ENSG00000008226
5341,DLEU1,ENSG00000176124
5342,DLEU1-AS1,ENSG00000229323
5343,DLEU2,ENSG00000231607
5344,DLEU7,ENSG00000186047
5345,DLEU7-AS1,ENSG00000237152
5346,DLG1,ENSG00000075711
5347,DLG1-AS1,ENSG00000227375
5348,DLG2,ENSG00000150672
5349,DLG3,ENSG00000082458
5350,DLG3-AS1,ENSG00000231651
5351,DLG4,ENSG00000132535
5352,DLG5,ENSG00000151208
5353,DLGAP1,ENSG00000170579
5354,DLGAP1-AS1,ENSG00000177337
5355,DLGAP1-AS2,ENSG00000262001
5356,DLGAP1-AS3,ENSG00000263724
5357,DLGAP1-AS5,ENSG00000261520
5358,DLGAP2,ENSG00000198010
5359,DLGAP3,ENSG00000116544
5360,DLGAP4,ENSG00000080845
5361,DLGAP4-AS1,ENSG00000232907
5362,DLGAP5,ENSG00000126787
5363,DLK2,ENSG00000171462
5364,DLL1,ENSG00000198719
5365,DLL3,ENSG00000090932
5366,DLL4,ENSG00000128917
5367,DLST,ENSG00000119689
5368,DLX1,ENSG00000144355
5369,DLX2,ENSG00000115844
5370,DLX3,ENSG00000064195
5371,DLX4,ENSG00000108813
5372,DLX5,ENSG00000105880
5373,DLX6,ENSG00000006377
5374,DLX6-AS1,ENSG00000231764
5375,DMAP1,ENSG00000178028
5376,DMBT1,ENSG00000187908
5377,DMBX1,ENSG00000197587
5378,DMC1,ENSG00000100206
5379,DMD,ENSG00000198947
5380,DMGDH,ENSG00000132837
5381,DMKN,ENSG00000161249
5382,DMP1,ENSG00000152592
5383,DMPK,ENSG00000104936
5384,DMRT2,ENSG00000173253
5385,DMRT3,ENSG00000064218
5386,DMRTA1,ENSG00000176399
5387,DMRTA2,ENSG00000142700
5388,DMTF1,ENSG00000135164
5389,DMTN,ENSG00000158856
5390,DMWD,ENSG00000185800
5391,DMXL1,ENSG00000172869
5392,DMXL2,ENSG00000104093
5393,DNA2,ENSG00000138346
5394,DNAAF1,ENSG00000154099
5395,DNAAF2,ENSG00000165506
5396,DNAAF3,ENSG00000167646
5397,DNAAF5,ENSG00000164818
5398,DNAH1,ENSG00000114841
5399,DNAH10,ENSG00000197653
5400,DNAH10OS,ENSG00000250091
5401,DNAH11,ENSG00000105877
5402,DNAH12,ENSG00000174844
5403,DNAH14,ENSG00000185842
5404,DNAH17,ENSG00000187775
5405,DNAH2,ENSG00000183914
5406,DNAH3,ENSG00000158486
5407,DNAH5,ENSG00000039139
5408,DNAH6,ENSG00000115423
5409,DNAH7,ENSG00000118997
5410,DNAH8,ENSG00000124721
5411,DNAH9,ENSG00000007174
5412,DNAI2,ENSG00000171595
5413,DNAJA1,ENSG00000086061
5414,DNAJA2,ENSG00000069345
5415,DNAJA3,ENSG00000103423
5416,DNAJA4,ENSG00000140403
5417,DNAJB1,ENSG00000132002
5418,DNAJB11,ENSG00000090520
5419,DNAJB12,ENSG00000148719
5420,DNAJB13,ENSG00000187726
5421,DNAJB14,ENSG00000164031
5422,DNAJB2,ENSG00000135924
5423,DNAJB4,ENSG00000162616
5424,DNAJB5,ENSG00000137094
5425,DNAJB6,ENSG00000105993
5426,DNAJB7,ENSG00000172404
5427,DNAJB9,ENSG00000128590
5428,DNAJC1,ENSG00000136770
5429,DNAJC10,ENSG00000077232
5430,DNAJC11,ENSG00000007923
5431,DNAJC12,ENSG00000108176
5432,DNAJC13,ENSG00000138246
5433,DNAJC14,ENSG00000135392
5434,DNAJC15,ENSG00000120675
5435,DNAJC16,ENSG00000116138
5436,DNAJC17,ENSG00000104129
5437,DNAJC18,ENSG00000170464
5438,DNAJC19,ENSG00000205981
5439,DNAJC2,ENSG00000105821
5440,DNAJC21,ENSG00000168724
5441,DNAJC22,ENSG00000178401
5442,DNAJC24,ENSG00000170946
5443,DNAJC25,ENSG00000059769
5444,DNAJC25-GNG10,ENSG00000244115
5445,DNAJC27,ENSG00000115137
5446,DNAJC27-AS1,ENSG00000224165
5447,DNAJC28,ENSG00000177692
5448,DNAJC3,ENSG00000102580
5449,DNAJC3-AS1,ENSG00000247400
5450,DNAJC30,ENSG00000176410
5451,DNAJC4,ENSG00000110011
5452,DNAJC5,ENSG00000101152
5453,DNAJC5B,ENSG00000147570
5454,DNAJC5G,ENSG00000163793
5455,DNAJC6,ENSG00000116675
5456,DNAJC7,ENSG00000168259
5457,DNAJC8,ENSG00000126698
5458,DNAJC9,ENSG00000213551
5459,DNAJC9-AS1,ENSG00000236756
5460,DNAL1,ENSG00000119661
5461,DNAL4,ENSG00000100246
5462,DNALI1,ENSG00000163879
5463,DNASE1,ENSG00000213918
5464,DNASE1L1,ENSG00000013563
5465,DNASE1L2,ENSG00000167968
5466,DNASE1L3,ENSG00000163687
5467,DNASE2,ENSG00000105612
5468,DNASE2B,ENSG00000137976
5469,DND1,ENSG00000256453
5470,DNER,ENSG00000187957
5471,DNHD1,ENSG00000179532
5472,DNLZ,ENSG00000213221
5473,DNM1,ENSG00000106976
5474,DNM1L,ENSG00000087470
5475,DNM1P35,ENSG00000246877
5476,DNM2,ENSG00000079805
5477,DNM3,ENSG00000197959
5478,DNM3OS,ENSG00000230630
5479,DNMBP,ENSG00000107554
5480,DNMBP-AS1,ENSG00000227695
5481,DNMT1,ENSG00000130816
5482,DNMT3A,ENSG00000119772
5483,DNMT3B,ENSG00000088305
5484,DNPEP,ENSG00000123992
5485,DNPH1,ENSG00000112667
5486,DNTT,ENSG00000107447
5487,DNTTIP1,ENSG00000101457
5488,DNTTIP2,ENSG00000067334
5489,DOC2A,ENSG00000149927
5490,DOC2B,ENSG00000272636
5491,DOCK1,ENSG00000150760
5492,DOCK10,ENSG00000135905
5493,DOCK11,ENSG00000147251
5494,DOCK2,ENSG00000134516
5495,DOCK3,ENSG00000088538
5496,DOCK4,ENSG00000128512
5497,DOCK4-AS1,ENSG00000225572
5498,DOCK5,ENSG00000147459
5499,DOCK6,ENSG00000130158
5500,DOCK7,ENSG00000116641
5501,DOCK8,ENSG00000107099
5502,DOCK9,ENSG00000088387
5503,DOCK9-AS2,ENSG00000260992
5504,DOHH,ENSG00000129932
5505,DOK1,ENSG00000115325
5506,DOK2,ENSG00000147443
5507,DOK3,ENSG00000146094
5508,DOK4,ENSG00000125170
5509,DOK5,ENSG00000101134
5510,DOK6,ENSG00000206052
5511,DOK7,ENSG00000175920
5512,DOLK,ENSG00000175283
5513,DOLPP1,ENSG00000167130
5514,DONSON,ENSG00000159147
5515,DOPEY1,ENSG00000083097
5516,DOPEY2,ENSG00000142197
5517,DOT1L,ENSG00000104885
5518,DPAGT1,ENSG00000172269
5519,DPCD,ENSG00000166171
5520,DPEP1,ENSG00000015413
5521,DPEP2,ENSG00000167261
5522,DPEP3,ENSG00000141096
5523,DPF1,ENSG00000011332
5524,DPF2,ENSG00000133884
5525,DPF3,ENSG00000205683
5526,DPH1,ENSG00000108963
5527,DPH2,ENSG00000132768
5528,DPH3,ENSG00000154813
5529,DPH5,ENSG00000117543
5530,DPH6,ENSG00000134146
5531,DPH6-AS1,ENSG00000248079
5532,DPH7,ENSG00000148399
5533,DPM1,ENSG00000000419
5534,DPM2,ENSG00000136908
5535,DPM3,ENSG00000179085
5536,DPP10,ENSG00000175497
5537,DPP10-AS1,ENSG00000235026
5538,DPP3,ENSG00000254986
5539,DPP4,ENSG00000197635
5540,DPP6,ENSG00000130226
5541,DPP7,ENSG00000176978
5542,DPP8,ENSG00000074603
5543,DPP9,ENSG00000142002
5544,DPP9-AS1,ENSG00000205790
5545,DPPA4,ENSG00000121570
5546,DPT,ENSG00000143196
5547,DPY19L1,ENSG00000173852
5548,DPY19L2,ENSG00000177990
5549,DPY19L3,ENSG00000178904
5550,DPY19L4,ENSG00000156162
5551,DPY30,ENSG00000162961
5552,DPYD,ENSG00000188641
5553,DPYD-AS1,ENSG00000232878
5554,DPYD-AS2,ENSG00000235777
5555,DPYS,ENSG00000147647
5556,DPYSL2,ENSG00000092964
5557,DPYSL3,ENSG00000113657
5558,DPYSL4,ENSG00000151640
5559,DPYSL5,ENSG00000157851
5560,DQX1,ENSG00000144045
5561,DR1,ENSG00000117505
5562,DRAIC,ENSG00000245750
5563,DRAM1,ENSG00000136048
5564,DRAM2,ENSG00000156171
5565,DRAP1,ENSG00000175550
5566,DRAXIN,ENSG00000162490
5567,DRC1,ENSG00000157856
5568,DRC3,ENSG00000171962
5569,DRC7,ENSG00000159625
5570,DRD1,ENSG00000184845
5571,DRD4,ENSG00000069696
5572,DRG1,ENSG00000185721
5573,DRG2,ENSG00000108591
5574,DRGX,ENSG00000165606
5575,DRICH1,ENSG00000189269
5576,DROSHA,ENSG00000113360
5577,DRP2,ENSG00000102385
5578,DSC1,ENSG00000134765
5579,DSC2,ENSG00000134755
5580,DSC3,ENSG00000134762
5581,DSCAM,ENSG00000171587
5582,DSCAML1,ENSG00000177103
5583,DSCAS,ENSG00000265888
5584,DSCC1,ENSG00000136982
5585,DSCR3,ENSG00000157538
5586,DSCR9,ENSG00000230366
5587,DSE,ENSG00000111817
5588,DSEL,ENSG00000171451
5589,DSG2,ENSG00000046604
5590,DSG2-AS1,ENSG00000264859
5591,DSG3,ENSG00000134757
5592,DSN1,ENSG00000149636
5593,DSP,ENSG00000096696
5594,DSPP,ENSG00000152591
5595,DST,ENSG00000151914
5596,DSTN,ENSG00000125868
5597,DSTYK,ENSG00000133059
5598,DTD1,ENSG00000125821
5599,DTD2,ENSG00000129480
5600,DTHD1,ENSG00000197057
5601,DTL,ENSG00000143476
5602,DTNA,ENSG00000134769
5603,DTNB,ENSG00000138101
5604,DTNBP1,ENSG00000047579
5605,DTWD1,ENSG00000104047
5606,DTWD2,ENSG00000169570
5607,DTX1,ENSG00000135144
5608,DTX2,ENSG00000091073
5609,DTX3,ENSG00000178498
5610,DTX3L,ENSG00000163840
5611,DTX4,ENSG00000110042
5612,DTYMK,ENSG00000168393
5613,DUBR,ENSG00000243701
5614,DUOX1,ENSG00000137857
5615,DUOX2,ENSG00000140279
5616,DUOXA1,ENSG00000140254
5617,DUS1L,ENSG00000169718
5618,DUS2,ENSG00000167264
5619,DUS3L,ENSG00000141994
5620,DUS4L,ENSG00000105865
5621,DUSP1,ENSG00000120129
5622,DUSP10,ENSG00000143507
5623,DUSP11,ENSG00000144048
5624,DUSP12,ENSG00000081721
5625,DUSP13,ENSG00000079393
5626,DUSP14,ENSG00000276023
5627,DUSP15,ENSG00000149599
5628,DUSP16,ENSG00000111266
5629,DUSP18,ENSG00000167065
5630,DUSP19,ENSG00000162999
5631,DUSP2,ENSG00000158050
5632,DUSP22,ENSG00000112679
5633,DUSP23,ENSG00000158716
5634,DUSP26,ENSG00000133878
5635,DUSP27,ENSG00000198842
5636,DUSP28,ENSG00000188542
5637,DUSP3,ENSG00000108861
5638,DUSP4,ENSG00000120875
5639,DUSP5,ENSG00000138166
5640,DUSP6,ENSG00000139318
5641,DUSP7,ENSG00000164086
5642,DUSP8,ENSG00000184545
5643,DUSP9,ENSG00000130829
5644,DUT,ENSG00000128951
5645,DUXA,ENSG00000258873
5646,DVL1,ENSG00000107404
5647,DVL2,ENSG00000004975
5648,DVL3,ENSG00000161202
5649,DXO,ENSG00000204348
5650,DYDC1,ENSG00000170788
5651,DYDC2,ENSG00000133665
5652,DYM,ENSG00000141627
5653,DYNC1H1,ENSG00000197102
5654,DYNC1I1,ENSG00000158560
5655,DYNC1I2,ENSG00000077380
5656,DYNC1LI1,ENSG00000144635
5657,DYNC1LI2,ENSG00000135720
5658,DYNC2H1,ENSG00000187240
5659,DYNC2LI1,ENSG00000138036
5660,DYNLL1,ENSG00000088986
5661,DYNLL2,ENSG00000264364
5662,DYNLRB1,ENSG00000125971
5663,DYNLRB2,ENSG00000168589
5664,DYNLT1,ENSG00000146425
5665,DYNLT3,ENSG00000165169
5666,DYRK1A,ENSG00000157540
5667,DYRK1B,ENSG00000105204
5668,DYRK2,ENSG00000127334
5669,DYRK3,ENSG00000143479
5670,DYRK4,ENSG00000010219
5671,DYSF,ENSG00000135636
5672,DYX1C1,ENSG00000256061
5673,DZANK1,ENSG00000089091
5674,DZIP1,ENSG00000134874
5675,DZIP1L,ENSG00000158163
5676,DZIP3,ENSG00000198919
5677,E2F1,ENSG00000101412
5678,E2F2,ENSG00000007968
5679,E2F3,ENSG00000112242
5680,E2F4,ENSG00000205250
5681,E2F5,ENSG00000133740
5682,E2F6,ENSG00000169016
5683,E2F7,ENSG00000165891
5684,E2F8,ENSG00000129173
5685,E4F1,ENSG00000167967
5686,EAF1,ENSG00000144597
5687,EAF1-AS1,ENSG00000249786
5688,EAF2,ENSG00000145088
5689,EAPP,ENSG00000129518
5690,EARS2,ENSG00000103356
5691,EBAG9,ENSG00000147654
5692,EBF1,ENSG00000164330
5693,EBF2,ENSG00000221818
5694,EBF3,ENSG00000108001
5695,EBF4,ENSG00000088881
5696,EBI3,ENSG00000105246
5697,EBLN2,ENSG00000255423
5698,EBLN3,ENSG00000281649
5699,EBNA1BP2,ENSG00000117395
5700,EBP,ENSG00000147155
5701,EBPL,ENSG00000123179
5702,ECD,ENSG00000122882
5703,ECE1,ENSG00000117298
5704,ECE2,ENSG00000145194
5705,ECEL1,ENSG00000171551
5706,ECH1,ENSG00000104823
5707,ECHDC1,ENSG00000093144
5708,ECHDC2,ENSG00000121310
5709,ECHDC3,ENSG00000134463
5710,ECHS1,ENSG00000127884
5711,ECI1,ENSG00000167969
5712,ECI2,ENSG00000198721
5713,ECM1,ENSG00000143369
5714,ECM2,ENSG00000106823
5715,ECSCR,ENSG00000279686
5716,ECSIT,ENSG00000130159
5717,ECT2,ENSG00000114346
5718,ECT2L,ENSG00000203734
5719,EDA,ENSG00000158813
5720,EDA2R,ENSG00000131080
5721,EDAR,ENSG00000135960
5722,EDARADD,ENSG00000186197
5723,EDC3,ENSG00000179151
5724,EDC4,ENSG00000038358
5725,EDEM1,ENSG00000134109
5726,EDEM2,ENSG00000088298
5727,EDEM3,ENSG00000116406
5728,EDF1,ENSG00000107223
5729,EDIL3,ENSG00000164176
5730,EDN1,ENSG00000078401
5731,EDN2,ENSG00000127129
5732,EDN3,ENSG00000124205
5733,EDNRA,ENSG00000151617
5734,EDNRB,ENSG00000136160
5735,EDNRB-AS1,ENSG00000225579
5736,EDRF1,ENSG00000107938
5737,EDRF1-AS1,ENSG00000236991
5738,EEA1,ENSG00000102189
5739,EED,ENSG00000074266
5740,EEF1A1,ENSG00000156508
5741,EEF1A2,ENSG00000101210
5742,EEF1B2,ENSG00000114942
5743,EEF1D,ENSG00000104529
5744,EEF1E1,ENSG00000124802
5745,EEF1G,ENSG00000254772
5746,EEF2,ENSG00000167658
5747,EEF2K,ENSG00000103319
5748,EEF2KMT,ENSG00000118894
5749,EEFSEC,ENSG00000132394
5750,EEPD1,ENSG00000122547
5751,EFCAB1,ENSG00000034239
5752,EFCAB10,ENSG00000185055
5753,EFCAB11,ENSG00000140025
5754,EFCAB12,ENSG00000172771
5755,EFCAB13,ENSG00000178852
5756,EFCAB14,ENSG00000159658
5757,EFCAB14-AS1,ENSG00000228237
5758,EFCAB2,ENSG00000203666
5759,EFCAB3,ENSG00000172421
5760,EFCAB5,ENSG00000176927
5761,EFCAB6,ENSG00000186976
5762,EFCAB6-AS1,ENSG00000223843
5763,EFCAB7,ENSG00000203965
5764,EFCAB8,ENSG00000215529
5765,EFCAB9,ENSG00000214360
5766,EFCC1,ENSG00000114654
5767,EFEMP1,ENSG00000115380
5768,EFEMP2,ENSG00000172638
5769,EFHB,ENSG00000163576
5770,EFHC1,ENSG00000096093
5771,EFHC2,ENSG00000183690
5772,EFHD1,ENSG00000115468
5773,EFHD2,ENSG00000142634
5774,EFNA1,ENSG00000169242
5775,EFNA2,ENSG00000099617
5776,EFNA3,ENSG00000143590
5777,EFNA4,ENSG00000243364
5778,EFNA5,ENSG00000184349
5779,EFNB1,ENSG00000090776
5780,EFNB2,ENSG00000125266
5781,EFNB3,ENSG00000108947
5782,EFR3A,ENSG00000132294
5783,EFR3B,ENSG00000084710
5784,EFS,ENSG00000100842
5785,EFTUD1,ENSG00000140598
5786,EFTUD2,ENSG00000108883
5787,EGF,ENSG00000138798
5788,EGFL6,ENSG00000198759
5789,EGFL7,ENSG00000172889
5790,EGFL8,ENSG00000241404
5791,EGFLAM,ENSG00000164318
5792,EGFR,ENSG00000146648
5793,EGLN1,ENSG00000135766
5794,EGLN2,ENSG00000269858
5795,EGLN3,ENSG00000129521
5796,EGOT,ENSG00000235947
5797,EGR1,ENSG00000120738
5798,EGR2,ENSG00000122877
5799,EGR3,ENSG00000179388
5800,EGR4,ENSG00000135625
5801,EHBP1,ENSG00000115504
